System Time, Elapsed Time (sec), Package Power (Watt), CPU Power (Watt), DRAM Power (Watt), GPU Power (Watt), E-Core Frequency (Mhz), P-Core Frequency (Mhz), GPU Frequency (Mhz), CPU MIN Temperature (C), CPU AVG Temperature (C), CPU MAX Temperature (C), GPU AVG Temperature (C), CPU Utilization (%), E-Core Utilization (%), P-Core Utilization (%), GPU Utilization (%)
17:33:45.583, 0.000, 0.464, 0.446, 0.110, 0.018, 1276, 1043, 0, 37, 42, 54, 30, 12.247, 12.121, 12.374, 8.000
17:33:46.578, 0.995, 0.032, 0.032, 0.084, 0.000, 972, 653, 0, 37, 42, 54, 30, 9.476, 9.227, 9.726, 0.000
17:33:47.588, 2.006, 0.134, 0.112, 0.108, 0.004, 1337, 664, 0, 37, 42, 54, 30, 12.594, 14.963, 10.224, 9.000
17:33:48.586, 3.003, 0.138, 0.138, 0.114, 0.000, 1558, 658, 0, 37, 42, 54, 30, 15.068, 19.202, 10.945, 2.000
17:33:49.565, 3.982, 0.040, 0.032, 0.078, 0.008, 995, 682, 0, 36, 42, 53, 30, 8.186, 6.297, 10.076, 1.000
17:33:50.593, 5.010, 0.134, 0.054, 0.090, 0.000, 1025, 812, 0, 36, 42, 53, 30, 9.768, 9.976, 9.559, 0.000
17:33:51.638, 6.055, 5.502, 4.240, 0.420, 0.046, 1759, 3158, 0, 36, 42, 53, 30, 35.181, 30.288, 40.097, 22.000
17:33:52.618, 7.035, 0.402, 0.378, 0.126, 0.014, 1104, 1066, 0, 36, 42, 53, 30, 22.016, 21.867, 22.164, 10.000
17:33:53.659, 8.076, 0.134, 0.070, 0.106, 0.000, 978, 644, 0, 38, 41, 49, 30, 16.400, 23.399, 9.383, 2.000
17:33:54.631, 9.048, 0.134, 0.070, 0.102, 0.000, 975, 637, 0, 38, 41, 49, 30, 16.206, 23.678, 8.772, 1.000
17:33:55.634, 10.051, 0.066, 0.066, 0.100, 0.000, 978, 646, 0, 38, 41, 49, 30, 15.365, 21.106, 9.596, 8.000
17:33:56.646, 11.063, 0.074, 0.074, 0.102, 0.000, 972, 653, 0, 38, 41, 49, 30, 16.605, 24.505, 8.685, 5.000
17:33:57.639, 12.056, 0.156, 0.146, 0.118, 0.010, 1037, 982, 0, 38, 41, 49, 30, 16.688, 23.869, 9.524, 1.000
17:33:58.623, 13.040, 0.066, 0.066, 0.098, 0.000, 975, 653, 0, 38, 41, 49, 30, 15.625, 22.111, 9.204, 2.000
17:33:59.659, 14.076, 0.134, 0.062, 0.098, 0.000, 982, 655, 0, 38, 41, 49, 30, 15.489, 21.921, 8.978, 21.000
17:34:00.630, 15.047, 0.090, 0.090, 0.108, 0.000, 995, 863, 0, 38, 41, 49, 30, 16.352, 23.426, 9.296, 12.000
17:34:01.635, 16.053, 0.134, 0.072, 0.100, 0.000, 1020, 647, 0, 37, 40, 48, 30, 16.771, 24.812, 8.750, 1.000
17:34:02.649, 17.066, 0.174, 0.154, 0.126, 0.020, 1045, 1171, 0, 37, 40, 48, 30, 16.442, 23.587, 9.314, 17.000
17:34:03.640, 18.057, 0.074, 0.070, 0.110, 0.004, 985, 652, 0, 37, 40, 48, 30, 16.182, 23.485, 8.861, 1.000
17:34:04.626, 19.044, 0.062, 0.062, 0.100, 0.000, 981, 647, 0, 37, 40, 48, 30, 14.912, 20.854, 9.000, 3.000
17:34:05.635, 20.052, 0.134, 0.062, 0.098, 0.000, 972, 640, 0, 36, 40, 54, 30, 15.163, 21.250, 9.045, 1.000
17:34:06.629, 21.046, 0.066, 0.066, 0.100, 0.000, 978, 650, 0, 36, 40, 54, 30, 17.522, 26.065, 9.000, 1.000
17:34:07.577, 21.995, 1.072, 0.886, 0.174, 0.028, 1087, 1148, 0, 36, 40, 54, 30, 18.262, 23.174, 13.350, 17.000
17:34:08.611, 23.028, 0.080, 0.074, 0.090, 0.006, 1133, 810, 0, 36, 40, 54, 30, 10.945, 10.174, 11.721, 16.000
17:34:09.625, 24.042, 0.022, 0.022, 0.072, 0.000, 972, 652, 0, 37, 41, 48, 30, 8.733, 9.337, 8.128, 0.000
17:34:10.616, 25.033, 0.040, 0.040, 0.084, 0.000, 982, 745, 0, 37, 41, 48, 30, 9.898, 10.914, 8.883, 2.000
17:34:11.585, 26.002, 0.060, 0.056, 0.086, 0.004, 1010, 661, 0, 37, 41, 48, 30, 11.920, 14.536, 9.296, 2.000
17:34:12.575, 26.992, 0.558, 0.530, 0.164, 0.028, 1664, 1023, 0, 37, 41, 48, 30, 20.326, 23.929, 16.750, 18.000
17:34:13.582, 27.999, 0.550, 0.544, 0.120, 0.006, 1523, 1076, 0, 38, 41, 49, 30, 24.907, 34.158, 15.633, 13.000
