System Time, Elapsed Time (sec), Package Power (Watt), CPU Power (Watt), DRAM Power (Watt), GPU Power (Watt), E-Core Frequency (Mhz), P-Core Frequency (Mhz), GPU Frequency (Mhz), CPU MIN Temperature (C), CPU AVG Temperature (C), CPU MAX Temperature (C), GPU AVG Temperature (C), CPU Utilization (%), E-Core Utilization (%), P-Core Utilization (%), GPU Utilization (%)
16:24:35.084, 0.000, 0.046, 0.044, 0.080, 0.002, 1079, 658, 0, 38, 40, 42, 30, 10.332, 7.882, 12.776, 6.000
16:24:36.073, 0.990, 0.020, 0.020, 0.072, 0.000, 991, 653, 0, 38, 40, 42, 30, 8.449, 7.286, 9.620, 3.000
16:24:37.076, 1.992, 0.138, 0.132, 0.108, 0.006, 1241, 791, 0, 38, 40, 42, 30, 11.809, 12.343, 11.278, 4.000
16:24:38.051, 2.968, 0.216, 0.214, 0.134, 0.002, 1773, 688, 0, 39, 41, 43, 30, 16.751, 22.166, 11.335, 1.000
16:24:39.086, 4.002, 0.066, 0.066, 0.094, 0.000, 1067, 648, 0, 39, 41, 43, 30, 13.447, 16.381, 10.513, 0.000
16:24:40.064, 4.981, 0.758, 0.714, 0.186, 0.044, 1287, 1179, 0, 39, 41, 43, 30, 20.026, 21.228, 18.830, 23.000
16:24:41.332, 6.248, 2.570, 2.540, 0.242, 0.030, 1387, 1950, 0, 39, 41, 43, 30, 49.134, 46.138, 52.147, 28.000
16:24:42.099, 7.015, 0.072, 0.072, 0.102, 0.000, 972, 663, 0, 39, 41, 43, 30, 16.026, 22.830, 9.265, 0.000
16:24:43.123, 8.039, 0.062, 0.062, 0.100, 0.000, 978, 638, 0, 39, 41, 43, 30, 16.065, 23.383, 8.728, 1.000
16:24:44.109, 9.026, 0.064, 0.064, 0.102, 0.000, 972, 645, 0, 39, 41, 43, 30, 15.691, 21.696, 9.701, 18.000
16:24:45.114, 10.030, 0.134, 0.072, 0.104, 0.000, 972, 640, 0, 39, 41, 43, 30, 15.980, 23.441, 8.500, 1.000
16:24:46.092, 11.008, 0.172, 0.162, 0.118, 0.010, 1105, 996, 0, 39, 41, 43, 30, 16.960, 23.618, 10.302, 8.000
16:24:47.132, 12.049, 0.076, 0.076, 0.100, 0.000, 988, 638, 0, 39, 41, 43, 30, 16.085, 23.192, 8.978, 0.000
16:24:48.137, 13.053, 0.076, 0.076, 0.104, 0.000, 972, 641, 0, 39, 41, 43, 30, 16.812, 24.250, 9.429, 1.000
16:24:49.097, 14.013, 0.076, 0.076, 0.100, 0.000, 972, 642, 0, 39, 41, 43, 30, 16.941, 25.253, 8.608, 10.000
16:24:50.110, 15.026, 0.120, 0.120, 0.108, 0.000, 1052, 644, 0, 37, 40, 42, 30, 18.284, 27.723, 8.750, 1.000
16:24:51.109, 16.026, 0.154, 0.144, 0.122, 0.010, 1037, 1161, 0, 37, 40, 42, 30, 16.438, 23.500, 9.429, 13.000
16:24:52.112, 17.029, 0.134, 0.060, 0.100, 0.010, 972, 649, 0, 37, 40, 42, 30, 15.056, 21.250, 8.816, 2.000
16:24:53.132, 18.049, 0.134, 0.064, 0.104, 0.000, 972, 649, 0, 37, 40, 42, 30, 15.691, 22.444, 8.955, 0.000
16:24:54.106, 19.023, 0.268, 0.098, 0.096, 0.000, 1031, 715, 0, 38, 41, 43, 30, 16.522, 23.077, 9.950, 4.000
16:24:55.105, 20.022, 0.076, 0.072, 0.102, 0.004, 983, 641, 0, 38, 41, 43, 30, 16.226, 23.232, 9.273, 1.000
16:24:56.083, 21.000, 0.210, 0.186, 0.118, 0.024, 1163, 1293, 0, 38, 41, 43, 30, 14.518, 18.750, 10.276, 20.000
16:24:57.141, 22.058, 0.090, 0.076, 0.132, 0.014, 1041, 655, 0, 38, 41, 43, 30, 15.468, 18.705, 12.230, 19.000
16:24:58.106, 23.023, 0.134, 0.034, 0.082, 0.000, 972, 645, 0, 38, 41, 43, 30, 10.430, 11.749, 9.115, 0.000
16:24:59.089, 24.005, 0.302, 0.270, 0.162, 0.032, 1592, 823, 0, 38, 41, 43, 30, 16.813, 22.306, 11.307, 11.000
16:25:00.076, 24.992, 0.634, 0.604, 0.174, 0.030, 1605, 1322, 0, 38, 41, 43, 30, 21.902, 27.068, 16.750, 24.000
16:25:01.058, 25.975, 0.354, 0.338, 0.134, 0.016, 1401, 1037, 0, 38, 41, 43, 30, 17.298, 17.929, 16.667, 7.000
16:25:02.064, 26.980, 0.022, 0.022, 0.074, 0.000, 972, 644, 0, 39, 41, 43, 30, 8.614, 7.500, 9.726, 10.000
