System Time, Elapsed Time (sec), Package Power (Watt), CPU Power (Watt), DRAM Power (Watt), GPU Power (Watt), E-Core Frequency (Mhz), P-Core Frequency (Mhz), GPU Frequency (Mhz), CPU MIN Temperature (C), CPU AVG Temperature (C), CPU MAX Temperature (C), GPU AVG Temperature (C), CPU Utilization (%), E-Core Utilization (%), P-Core Utilization (%), GPU Utilization (%)
22:36:50.830, 0.000, 0.258, 0.232, 0.064, 0.026, 1150, 1405, 0, 33, 36, 41, 30, 11.285, 9.853, 12.708, 9.000
22:36:51.677, 0.848, 0.036, 0.028, 0.028, 0.008, 981, 647, 0, 33, 36, 41, 30, 9.437, 8.537, 10.334, 36.000
22:36:52.649, 1.819, 0.376, 0.376, 0.082, 0.000, 1494, 1208, 0, 33, 36, 41, 30, 15.491, 17.884, 13.098, 11.000
22:36:53.682, 2.853, 1.028, 1.012, 0.144, 0.016, 1518, 1631, 0, 33, 36, 41, 30, 23.077, 21.359, 24.816, 39.000
22:36:54.722, 3.892, 0.178, 0.166, 0.068, 0.012, 1218, 1269, 0, 34, 38, 48, 30, 14.339, 15.842, 12.840, 5.000
22:36:55.643, 4.813, 2.146, 1.914, 0.188, 0.032, 1288, 1929, 0, 34, 38, 48, 30, 19.948, 19.171, 20.725, 18.000
22:36:56.806, 5.976, 7.246, 5.894, 0.416, 0.084, 1674, 2588, 0, 34, 38, 48, 30, 58.147, 47.758, 68.444, 42.000
22:36:57.748, 6.918, 0.350, 0.342, 0.092, 0.008, 1246, 1089, 0, 34, 38, 48, 30, 24.054, 31.989, 16.033, 31.000
22:36:58.707, 7.877, 0.326, 0.252, 0.152, 0.074, 1313, 895, 0, 34, 38, 48, 30, 20.233, 27.083, 13.437, 45.000
22:36:59.737, 8.907, 0.104, 0.098, 0.076, 0.006, 1049, 681, 0, 34, 38, 48, 30, 22.799, 31.159, 14.458, 19.000
22:37:00.728, 9.898, 0.148, 0.138, 0.072, 0.010, 1107, 824, 0, 34, 38, 48, 30, 18.264, 25.773, 10.677, 4.000
22:37:01.694, 10.865, 0.084, 0.080, 0.066, 0.004, 1042, 681, 0, 34, 38, 48, 30, 16.709, 24.372, 9.045, 3.000
22:37:02.670, 11.840, 0.594, 0.574, 0.154, 0.020, 1589, 1138, 0, 34, 39, 44, 30, 25.862, 32.759, 18.966, 24.000
22:37:03.706, 12.877, 3.086, 2.740, 0.272, 0.046, 1572, 1555, 0, 34, 39, 44, 30, 35.504, 34.729, 36.275, 32.000
22:37:04.684, 13.855, 0.122, 0.122, 0.074, 0.000, 1142, 664, 0, 34, 39, 44, 30, 20.774, 26.804, 14.729, 4.000
22:37:05.711, 14.882, 0.938, 0.676, 0.190, 0.054, 1266, 1318, 0, 34, 39, 44, 30, 24.658, 34.414, 14.925, 36.000
22:37:06.723, 15.894, 0.546, 0.526, 0.146, 0.020, 1629, 1208, 0, 34, 38, 46, 30, 25.434, 31.436, 19.403, 13.000
22:37:07.744, 16.914, 0.272, 0.272, 0.096, 0.000, 1393, 848, 0, 34, 38, 46, 30, 21.902, 27.638, 16.209, 4.000
22:37:08.685, 17.856, 0.444, 0.440, 0.114, 0.004, 1493, 1234, 0, 34, 38, 46, 30, 21.492, 29.723, 13.198, 3.000
22:37:09.732, 18.902, 0.272, 0.270, 0.102, 0.002, 1507, 959, 0, 34, 38, 46, 30, 23.544, 32.754, 14.356, 2.000
22:37:10.746, 19.916, 0.082, 0.074, 0.066, 0.008, 1023, 737, 0, 33, 37, 46, 30, 17.293, 25.126, 9.500, 6.000
22:37:11.736, 20.907, 0.094, 0.092, 0.064, 0.002, 1094, 776, 0, 33, 37, 46, 30, 17.419, 25.935, 8.816, 2.000
22:37:12.703, 21.873, 0.430, 0.366, 0.132, 0.064, 1287, 1367, 0, 33, 37, 46, 30, 17.559, 20.250, 14.888, 34.000
22:37:13.692, 22.862, 0.192, 0.180, 0.074, 0.012, 1162, 1131, 0, 33, 37, 46, 30, 13.174, 14.750, 11.587, 3.000
22:37:14.688, 23.859, 5.904, 5.416, 0.320, 0.020, 1542, 2751, 0, 34, 37, 40, 30, 30.210, 24.691, 35.714, 25.000
22:37:15.669, 24.840, 0.340, 0.324, 0.102, 0.016, 1426, 1212, 0, 34, 37, 40, 30, 19.643, 24.808, 14.504, 2.000
22:37:16.678, 25.848, 0.040, 0.040, 0.028, 0.000, 1003, 648, 0, 34, 37, 40, 30, 12.438, 13.682, 11.194, 3.000
