System Time, Elapsed Time (sec), Package Power (Watt), CPU Power (Watt), DRAM Power (Watt), GPU Power (Watt), E-Core Frequency (Mhz), P-Core Frequency (Mhz), GPU Frequency (Mhz), CPU MIN Temperature (C), CPU AVG Temperature (C), CPU MAX Temperature (C), GPU AVG Temperature (C), CPU Utilization (%), E-Core Utilization (%), P-Core Utilization (%), GPU Utilization (%)
16:05:19.094, 0.000, 0.550, 0.524, 0.104, 0.026, 1161, 1436, 0, 39, 46, 63, 30, 13.579, 14.177, 12.977, 5.000
16:05:20.128, 1.034, 0.148, 0.142, 0.104, 0.006, 1494, 718, 0, 39, 46, 63, 30, 12.814, 16.307, 9.330, 5.000
16:05:21.095, 2.002, 0.154, 0.154, 0.120, 0.000, 1541, 660, 0, 39, 46, 63, 30, 14.877, 18.912, 10.853, 3.000
16:05:22.087, 2.994, 0.018, 0.018, 0.070, 0.000, 972, 652, 0, 42, 44, 48, 30, 9.446, 8.543, 10.354, 1.000
16:05:23.086, 3.992, 0.134, 0.028, 0.072, 0.000, 991, 883, 0, 42, 44, 48, 30, 8.240, 6.516, 9.950, 1.000
16:05:24.084, 4.990, 0.016, 0.016, 0.070, 0.000, 972, 645, 0, 42, 44, 48, 30, 7.789, 6.533, 9.045, 0.000
16:05:25.198, 6.104, 0.804, 0.686, 0.150, 0.016, 1281, 1367, 0, 42, 44, 48, 30, 31.293, 32.488, 30.093, 40.000
16:05:26.139, 7.045, 0.134, 0.066, 0.096, 0.000, 979, 640, 0, 40, 45, 61, 30, 16.466, 22.849, 10.133, 2.000
16:05:27.157, 8.064, 0.134, 0.088, 0.106, 0.000, 1002, 643, 0, 40, 45, 61, 30, 17.380, 25.879, 8.838, 1.000
16:05:28.127, 9.033, 0.088, 0.082, 0.104, 0.006, 986, 796, 0, 40, 45, 61, 30, 17.246, 25.743, 8.706, 1.000
16:05:29.137, 10.043, 0.070, 0.070, 0.098, 0.000, 975, 651, 0, 40, 45, 61, 30, 18.068, 27.318, 8.794, 2.000
16:05:30.163, 11.070, 0.400, 0.394, 0.118, 0.006, 1050, 1127, 0, 42, 47, 57, 30, 17.888, 23.192, 12.624, 1.000
16:05:31.130, 12.037, 0.072, 0.072, 0.102, 0.000, 988, 721, 0, 42, 47, 57, 30, 16.105, 23.632, 8.521, 2.000
16:05:32.151, 13.057, 0.120, 0.120, 0.100, 0.000, 1012, 704, 0, 42, 47, 57, 30, 15.684, 21.411, 10.000, 1.000
16:05:33.138, 14.044, 0.116, 0.110, 0.102, 0.006, 1053, 678, 0, 42, 47, 57, 30, 16.291, 23.250, 9.296, 1.000
16:05:34.140, 15.047, 0.074, 0.074, 0.116, 0.000, 996, 644, 0, 42, 44, 49, 30, 17.440, 25.313, 9.548, 2.000
16:05:35.164, 16.070, 0.134, 0.086, 0.100, 0.000, 1010, 645, 0, 42, 44, 49, 30, 16.334, 22.943, 9.726, 0.000
16:05:36.127, 17.034, 0.086, 0.086, 0.106, 0.000, 996, 891, 0, 42, 44, 49, 30, 16.584, 23.750, 9.453, 7.000
16:05:37.132, 18.039, 0.134, 0.074, 0.100, 0.000, 1041, 651, 0, 42, 44, 49, 30, 15.835, 23.192, 8.479, 2.000
16:05:38.131, 19.037, 0.134, 0.070, 0.104, 0.000, 989, 638, 0, 42, 45, 50, 30, 17.021, 24.750, 9.273, 0.000
16:05:39.116, 20.023, 0.062, 0.062, 0.098, 0.000, 979, 654, 0, 42, 45, 50, 30, 16.816, 24.936, 8.718, 3.000
16:05:40.086, 20.993, 0.122, 0.122, 0.102, 0.000, 1001, 740, 0, 42, 45, 50, 30, 16.687, 23.902, 9.489, 0.000
16:05:41.066, 21.972, 1.106, 1.072, 0.180, 0.034, 1300, 1581, 0, 42, 45, 50, 41, 15.019, 11.509, 18.557, 22.000
16:05:42.105, 23.011, 0.272, 0.250, 0.150, 0.022, 1598, 787, 0, 40, 45, 59, 41, 16.888, 20.048, 13.735, 23.000
16:05:43.074, 23.981, 0.362, 0.350, 0.138, 0.012, 1756, 1044, 0, 40, 45, 59, 41, 18.310, 20.716, 15.897, 12.000
16:05:44.086, 24.992, 0.202, 0.198, 0.108, 0.004, 1518, 805, 0, 40, 45, 59, 41, 17.625, 18.593, 16.667, 17.000
16:05:45.086, 25.993, 0.030, 0.030, 0.084, 0.000, 972, 651, 0, 40, 45, 59, 30, 9.975, 10.422, 9.524, 0.000
