System Time, Elapsed Time (sec), Package Power (Watt), CPU Power (Watt), DRAM Power (Watt), GPU Power (Watt), E-Core Frequency (Mhz), P-Core Frequency (Mhz), GPU Frequency (Mhz), CPU MIN Temperature (C), CPU AVG Temperature (C), CPU MAX Temperature (C), GPU AVG Temperature (C), CPU Utilization (%), E-Core Utilization (%), P-Core Utilization (%), GPU Utilization (%)
18:25:22.711, 0.000, 0.356, 0.350, 0.124, 0.006, 1503, 891, 0, 38, 41, 43, 30, 15.628, 18.330, 12.910, 8.000
18:25:23.552, 0.841, 0.660, 0.614, 0.184, 0.046, 1369, 1261, 0, 38, 41, 43, 30, 19.875, 20.755, 19.003, 24.000
18:25:24.522, 1.810, 0.042, 0.026, 0.078, 0.016, 999, 649, 0, 38, 41, 43, 30, 9.137, 9.415, 8.861, 2.000
18:25:25.509, 2.797, 0.144, 0.132, 0.096, 0.012, 1092, 820, 0, 40, 42, 44, 30, 11.236, 11.721, 10.750, 2.000
18:25:26.535, 3.824, 0.380, 0.358, 0.168, 0.022, 1818, 884, 0, 40, 42, 44, 30, 22.688, 26.667, 18.719, 14.000
18:25:27.532, 4.820, 5.502, 4.394, 0.396, 0.140, 1860, 2695, 0, 40, 42, 44, 30, 28.991, 30.789, 27.179, 35.000
18:25:28.565, 5.854, 0.204, 0.204, 0.120, 0.000, 1043, 809, 0, 40, 42, 44, 30, 20.421, 26.980, 13.861, 21.000
18:25:29.575, 6.864, 0.080, 0.080, 0.104, 0.000, 1004, 643, 0, 39, 41, 44, 30, 16.040, 23.116, 9.000, 0.000
18:25:30.564, 7.853, 0.074, 0.074, 0.102, 0.000, 987, 642, 0, 39, 41, 44, 30, 16.169, 22.886, 9.453, 3.000
18:25:31.558, 8.847, 0.072, 0.072, 0.098, 0.000, 999, 658, 0, 39, 41, 44, 30, 15.849, 22.864, 8.816, 0.000
18:25:32.559, 9.847, 0.130, 0.124, 0.120, 0.006, 1027, 982, 0, 39, 41, 44, 30, 18.936, 28.536, 9.383, 1.000
18:25:33.588, 10.877, 0.216, 0.216, 0.126, 0.000, 1078, 789, 0, 40, 41, 44, 30, 18.340, 24.752, 11.911, 17.000
18:25:34.558, 11.847, 0.134, 0.070, 0.102, 0.000, 983, 649, 0, 40, 41, 44, 30, 15.816, 22.449, 9.184, 1.000
18:25:35.571, 12.860, 0.070, 0.070, 0.096, 0.000, 1004, 657, 0, 40, 41, 44, 30, 15.174, 21.340, 8.978, 3.000
18:25:36.568, 13.857, 0.082, 0.082, 0.112, 0.000, 999, 650, 0, 40, 41, 44, 30, 18.296, 27.387, 9.250, 1.000
18:25:37.563, 14.851, 0.122, 0.114, 0.110, 0.008, 1015, 1014, 0, 39, 41, 44, 30, 15.875, 22.807, 8.978, 12.000
18:25:38.585, 15.874, 0.188, 0.186, 0.118, 0.002, 1048, 783, 0, 39, 41, 44, 30, 17.857, 25.000, 10.644, 13.000
18:25:39.575, 16.864, 0.078, 0.078, 0.104, 0.000, 1000, 655, 0, 39, 41, 44, 30, 15.949, 22.843, 9.091, 1.000
18:25:40.582, 17.871, 0.078, 0.078, 0.102, 0.000, 989, 672, 0, 39, 41, 44, 30, 16.584, 24.129, 9.000, 3.000
18:25:41.573, 18.862, 0.134, 0.078, 0.102, 0.000, 995, 649, 0, 38, 41, 44, 30, 16.080, 23.426, 8.772, 0.000
18:25:42.497, 19.786, 0.112, 0.110, 0.112, 0.002, 1048, 648, 0, 38, 41, 44, 30, 18.695, 27.889, 9.524, 1.000
18:25:43.528, 20.817, 0.460, 0.440, 0.142, 0.020, 1126, 1079, 0, 38, 41, 44, 30, 13.241, 11.809, 14.684, 19.000
18:25:44.563, 21.851, 0.392, 0.364, 0.144, 0.028, 1478, 1231, 0, 38, 41, 44, 30, 15.083, 16.706, 13.475, 20.000
18:25:45.556, 22.844, 0.134, 0.096, 0.134, 0.016, 1122, 685, 0, 38, 41, 43, 30, 20.637, 27.411, 13.811, 14.000
18:25:46.507, 23.796, 0.298, 0.282, 0.134, 0.016, 1685, 823, 0, 38, 41, 43, 30, 14.706, 18.159, 11.253, 17.000
18:25:47.507, 24.796, 0.640, 0.594, 0.206, 0.046, 1600, 1142, 0, 38, 41, 43, 30, 22.125, 26.250, 18.000, 21.000
