System Time, Elapsed Time (sec), Package Power (Watt), CPU Power (Watt), DRAM Power (Watt), GPU Power (Watt), E-Core Frequency (Mhz), P-Core Frequency (Mhz), GPU Frequency (Mhz), CPU MIN Temperature (C), CPU AVG Temperature (C), CPU MAX Temperature (C), GPU AVG Temperature (C), CPU Utilization (%), E-Core Utilization (%), P-Core Utilization (%), GPU Utilization (%)
18:08:39.732, 0.000, 0.316, 0.300, 0.120, 0.016, 1446, 791, 0, 39, 40, 43, 30, 12.642, 12.656, 12.629, 7.000
18:08:40.528, 0.796, 0.400, 0.382, 0.138, 0.018, 1585, 1445, 0, 39, 40, 43, 30, 16.304, 17.702, 14.907, 9.000
18:08:41.540, 1.808, 0.134, 0.064, 0.084, 0.000, 1013, 642, 0, 39, 41, 43, 30, 13.384, 14.394, 12.374, 16.000
18:08:42.506, 2.774, 0.088, 0.084, 0.094, 0.004, 1120, 690, 0, 39, 41, 43, 30, 13.224, 15.365, 11.083, 1.000
18:08:43.578, 3.847, 0.440, 0.334, 0.214, 0.106, 1710, 915, 0, 39, 41, 43, 30, 20.908, 22.488, 19.332, 32.000
18:08:44.540, 4.808, 0.266, 0.226, 0.122, 0.040, 1291, 738, 0, 39, 41, 43, 30, 13.595, 13.874, 13.316, 11.000
18:08:45.571, 5.839, 0.240, 0.216, 0.146, 0.024, 1171, 797, 0, 39, 41, 43, 30, 34.539, 43.921, 25.063, 14.000
18:08:46.574, 6.842, 0.190, 0.186, 0.124, 0.004, 1233, 771, 0, 39, 41, 43, 30, 19.975, 27.475, 12.531, 4.000
18:08:47.570, 7.838, 0.072, 0.072, 0.100, 0.000, 1000, 659, 0, 39, 41, 43, 30, 15.190, 21.574, 8.838, 0.000
18:08:48.564, 8.832, 0.106, 0.100, 0.114, 0.006, 1012, 810, 0, 39, 41, 43, 30, 17.289, 25.806, 8.728, 1.000
18:08:49.586, 9.854, 0.070, 0.070, 0.096, 0.000, 990, 644, 0, 39, 41, 44, 30, 17.146, 24.750, 9.524, 6.000
18:08:50.570, 10.838, 0.502, 0.460, 0.164, 0.042, 1163, 1132, 0, 39, 41, 44, 30, 18.976, 24.812, 13.184, 14.000
18:08:51.605, 11.873, 0.074, 0.074, 0.102, 0.000, 987, 659, 0, 39, 41, 44, 30, 16.646, 24.318, 8.955, 2.000
18:08:52.567, 12.836, 0.226, 0.226, 0.148, 0.000, 1441, 691, 0, 39, 41, 44, 30, 23.869, 37.343, 10.327, 4.000
18:08:53.554, 13.822, 0.276, 0.268, 0.144, 0.008, 1732, 691, 0, 37, 41, 43, 30, 20.677, 30.982, 10.474, 1.000
18:08:54.570, 14.838, 0.102, 0.102, 0.108, 0.000, 1119, 688, 0, 37, 41, 43, 30, 15.558, 21.000, 10.076, 4.000
18:08:55.577, 15.845, 0.258, 0.240, 0.140, 0.018, 1105, 874, 0, 37, 41, 43, 30, 16.955, 23.020, 10.891, 18.000
18:08:56.570, 16.838, 0.134, 0.096, 0.112, 0.002, 1015, 839, 0, 37, 41, 43, 30, 16.416, 24.060, 8.772, 14.000
18:08:57.574, 17.842, 0.090, 0.090, 0.112, 0.000, 1006, 639, 0, 39, 40, 43, 30, 17.332, 25.564, 9.181, 0.000
18:08:58.584, 18.853, 0.076, 0.076, 0.106, 0.000, 992, 652, 0, 39, 40, 43, 30, 16.750, 24.627, 8.794, 5.000
18:08:59.579, 19.847, 0.066, 0.066, 0.102, 0.000, 988, 652, 0, 39, 40, 43, 30, 15.316, 21.970, 8.629, 1.000
18:09:00.543, 20.811, 0.874, 0.832, 0.196, 0.042, 1271, 1611, 0, 39, 40, 43, 30, 18.812, 23.325, 14.321, 10.000
18:09:01.561, 21.829, 0.058, 0.050, 0.092, 0.008, 999, 778, 0, 38, 40, 42, 30, 9.343, 9.114, 9.572, 24.000
18:09:02.540, 22.809, 0.060, 0.060, 0.086, 0.000, 1099, 646, 0, 38, 40, 42, 30, 12.671, 16.584, 8.728, 2.000
18:09:03.542, 23.810, 0.670, 0.474, 0.290, 0.196, 1463, 1065, 0, 38, 40, 42, 30, 24.600, 30.542, 18.673, 35.000
18:09:04.529, 24.797, 0.134, 0.020, 0.074, 0.000, 972, 640, 0, 38, 40, 42, 30, 9.243, 7.179, 11.311, 15.000
18:09:05.496, 25.764, 0.174, 0.170, 0.118, 0.004, 1048, 808, 0, 36, 40, 42, 30, 13.174, 15.038, 11.307, 1.000
