System Time, Elapsed Time (sec), Package Power (Watt), CPU Power (Watt), DRAM Power (Watt), GPU Power (Watt), E-Core Frequency (Mhz), P-Core Frequency (Mhz), GPU Frequency (Mhz), CPU MIN Temperature (C), CPU AVG Temperature (C), CPU MAX Temperature (C), GPU AVG Temperature (C), CPU Utilization (%), E-Core Utilization (%), P-Core Utilization (%), GPU Utilization (%)
15:42:05.087, 0.000, 0.464, 0.446, 0.096, 0.018, 1155, 1247, 0, 39, 42, 45, 39, 11.268, 9.463, 13.077, 5.000
15:42:06.088, 1.000, 0.134, 0.020, 0.072, 0.000, 972, 650, 0, 39, 41, 45, 39, 8.166, 6.281, 10.050, 5.000
15:42:07.090, 2.003, 0.134, 0.036, 0.084, 0.000, 1038, 663, 0, 39, 41, 45, 39, 9.080, 7.960, 10.199, 1.000
15:42:08.073, 2.986, 0.134, 0.114, 0.104, 0.008, 1109, 739, 0, 39, 41, 45, 39, 12.422, 14.824, 10.025, 1.000
15:42:09.090, 4.003, 0.364, 0.356, 0.142, 0.008, 1702, 1154, 0, 39, 41, 45, 30, 15.460, 17.317, 13.580, 7.000
15:42:10.090, 5.003, 0.052, 0.052, 0.086, 0.000, 1041, 667, 0, 39, 42, 48, 30, 11.153, 9.439, 12.846, 0.000
15:42:11.124, 6.036, 0.832, 0.806, 0.182, 0.026, 1128, 1212, 0, 39, 42, 48, 30, 23.225, 23.188, 23.261, 24.000
15:42:12.120, 7.033, 0.442, 0.432, 0.150, 0.010, 1157, 961, 0, 39, 42, 48, 30, 24.474, 28.871, 20.053, 24.000
15:42:13.156, 8.069, 0.160, 0.146, 0.132, 0.014, 1071, 708, 0, 39, 42, 48, 30, 20.073, 29.756, 10.319, 9.000
15:42:14.143, 9.056, 0.228, 0.220, 0.136, 0.008, 1205, 685, 0, 39, 40, 41, 30, 22.208, 34.257, 10.250, 2.000
15:42:15.120, 10.032, 0.080, 0.074, 0.102, 0.006, 1008, 710, 0, 39, 40, 41, 30, 16.025, 21.836, 10.199, 5.000
15:42:16.144, 11.057, 0.090, 0.084, 0.110, 0.006, 1021, 749, 0, 39, 40, 41, 30, 16.186, 22.306, 10.050, 3.000
15:42:17.114, 12.027, 0.142, 0.134, 0.114, 0.008, 1145, 801, 0, 39, 40, 41, 30, 17.359, 24.205, 10.513, 9.000
15:42:18.137, 13.050, 0.120, 0.108, 0.118, 0.012, 1054, 696, 0, 39, 41, 42, 30, 18.533, 26.735, 10.309, 2.000
15:42:19.140, 14.053, 0.134, 0.090, 0.108, 0.002, 1039, 723, 0, 39, 41, 42, 30, 16.791, 22.444, 11.166, 3.000
15:42:20.130, 15.043, 0.082, 0.082, 0.106, 0.000, 992, 699, 0, 39, 41, 42, 30, 16.522, 22.333, 10.697, 5.000
15:42:21.124, 16.036, 0.094, 0.088, 0.108, 0.006, 1017, 713, 0, 39, 41, 42, 30, 15.849, 20.655, 11.055, 4.000
15:42:22.112, 17.025, 0.136, 0.120, 0.114, 0.016, 1140, 760, 0, 39, 40, 43, 30, 16.373, 22.418, 10.327, 5.000
15:42:23.110, 18.022, 0.134, 0.082, 0.102, 0.006, 1013, 732, 0, 39, 40, 43, 30, 14.500, 19.250, 9.750, 2.000
15:42:24.117, 19.030, 0.134, 0.078, 0.104, 0.002, 1023, 718, 0, 39, 40, 43, 30, 15.980, 21.642, 10.276, 3.000
15:42:25.107, 20.020, 0.098, 0.098, 0.106, 0.000, 994, 710, 0, 39, 40, 43, 30, 16.418, 21.696, 11.166, 8.000
15:42:26.112, 21.025, 0.134, 0.116, 0.102, 0.000, 1022, 798, 0, 38, 40, 42, 30, 15.519, 20.000, 11.028, 2.000
15:42:27.113, 22.025, 0.524, 0.468, 0.174, 0.056, 1302, 1047, 0, 38, 40, 42, 30, 21.053, 28.321, 13.784, 28.000
15:42:28.130, 23.043, 0.106, 0.106, 0.094, 0.000, 1036, 696, 0, 38, 40, 42, 30, 13.899, 18.272, 9.559, 11.000
15:42:29.103, 24.015, 0.030, 0.026, 0.072, 0.004, 997, 712, 0, 38, 40, 42, 30, 8.723, 8.586, 8.861, 2.000
15:42:30.123, 25.036, 0.106, 0.104, 0.100, 0.002, 1348, 660, 0, 39, 40, 42, 30, 14.072, 18.159, 9.975, 8.000
15:42:31.091, 26.004, 0.572, 0.536, 0.176, 0.036, 1652, 885, 0, 39, 40, 42, 30, 19.420, 26.263, 12.594, 28.000
15:42:32.082, 26.994, 0.530, 0.516, 0.110, 0.014, 1560, 1006, 0, 39, 40, 42, 30, 14.482, 14.464, 14.500, 17.000
